Date,Customer,Product,Category,Quantity,Price,Discount(%),TotalAmount,Region,Salesperson
2025-04-27,E,Sunglasses,Accessories,1,800,0,800.0,West,Neha
2025-04-28,G,Sunglasses,Accessories,4,800,15,2720.0,South,Sneha
2025-04-29,A,Shoes,Footwear,4,1500,0,6000.0,East,Karan
2025-04-30,A,Laptop,Electronics,3,45000,5,128250.0,East,Rahul
2025-05-01,E,T-shirt,Clothing,4,700,5,2660.0,East,Neha
2025-05-02,A,T-shirt,Clothing,5,700,10,3150.0,West,Rahul
2025-05-03,G,T-shirt,Clothing,2,700,10,1260.0,West,Rahul
2025-05-04,D,T-shirt,Clothing,3,700,5,1995.0,East,Sneha
2025-05-05,C,T-shirt,Clothing,5,700,15,2975.0,North,Rahul
2025-05-06,F,Watch,Accessories,5,2500,0,12500.0,South,Priya
2025-05-07,G,Bag,Accessories,5,1200,0,6000.0,East,Neha
2025-05-08,C,Headphones,Electronics,4,2500,0,10000.0,North,Neha
2025-05-09,H,Shoes,Footwear,3,1500,10,4050.0,West,Rahul
2025-05-10,G,Laptop,Electronics,1,45000,15,38250.0,North,Sneha
2025-05-11,D,Shoes,Footwear,3,1500,15,3825.0,West,Rahul
2025-05-12,B,Headphones,Electronics,4,2500,15,8500.0,South,Sneha
2025-05-13,E,Shoes,Footwear,4,1500,0,6000.0,West,Amit
2025-05-14,F,T-shirt,Clothing,5,700,5,3325.0,West,Neha
2025-05-15,D,Headphones,Electronics,5,2500,0,12500.0,West,Amit
2025-05-16,D,Headphones,Electronics,1,2500,0,2500.0,South,Amit
2025-05-17,E,Perfume,Beauty,4,900,10,3240.0,West,Amit
2025-05-18,D,Watch,Accessories,3,2500,15,6375.0,East,Karan
2025-05-19,H,Perfume,Beauty,5,900,15,3825.0,West,Sneha
2025-05-20,A,Sunglasses,Accessories,1,800,0,800.0,North,Neha
2025-05-21,G,Bag,Accessories,4,1200,10,4320.0,West,Rahul
2025-05-22,G,Watch,Accessories,4,2500,10,9000.0,West,Amit
2025-05-23,D,Shoes,Footwear,4,1500,0,6000.0,East,Sneha
2025-05-24,C,Sunglasses,Accessories,3,800,0,2400.0,South,Amit
2025-05-25,F,T-shirt,Clothing,4,700,5,2660.0,East,Priya
2025-05-26,F,Sunglasses,Accessories,4,800,0,3200.0,North,Priya
2025-05-27,B,Shoes,Footwear,2,1500,10,2700.0,North,Amit
2025-05-28,B,T-shirt,Clothing,4,700,10,2520.0,East,Amit
2025-05-29,G,Headphones,Electronics,3,2500,15,6375.0,West,Priya
2025-05-30,C,Shoes,Footwear,3,1500,15,3825.0,North,Sneha
2025-05-31,D,Headphones,Electronics,3,2500,15,6375.0,West,Rahul
2025-06-01,G,Perfume,Beauty,4,900,10,3240.0,South,Amit
2025-06-02,E,Perfume,Beauty,5,900,5,4275.0,North,Priya
2025-06-03,E,Laptop,Electronics,3,45000,10,121500.0,East,Sneha
2025-06-04,F,T-shirt,Clothing,1,700,0,700.0,North,Sneha
2025-06-05,G,Perfume,Beauty,1,900,10,810.0,South,Sneha
2025-06-06,C,Headphones,Electronics,5,2500,10,11250.0,East,Neha
2025-06-07,A,Sunglasses,Accessories,2,800,0,1600.0,North,Priya
2025-06-08,A,Perfume,Beauty,3,900,0,2700.0,South,Priya
2025-06-09,E,Perfume,Beauty,3,900,0,2700.0,North,Karan
2025-06-10,A,Sunglasses,Accessories,5,800,15,3400.0,East,Rahul
2025-06-11,G,Sunglasses,Accessories,5,800,5,3800.0,East,Rahul
2025-06-12,D,T-shirt,Clothing,1,700,0,700.0,South,Amit
2025-06-13,A,Sunglasses,Accessories,5,800,0,4000.0,North,Karan
2025-06-14,A,Bag,Accessories,4,1200,15,4080.0,North,Amit
2025-06-15,C,Perfume,Beauty,5,900,10,4050.0,North,Amit
2025-06-16,F,Bag,Accessories,3,1200,15,3060.0,South,Rahul
2025-06-17,D,Headphones,Electronics,1,2500,5,2375.0,East,Rahul
2025-06-18,B,T-shirt,Clothing,2,700,0,1400.0,North,Neha
2025-06-19,D,Sunglasses,Accessories,2,800,10,1440.0,East,Sneha
2025-06-20,F,Watch,Accessories,3,2500,15,6375.0,West,Sneha
2025-06-21,G,Laptop,Electronics,4,45000,10,162000.0,North,Priya
2025-06-22,C,Watch,Accessories,3,2500,5,7125.0,North,Sneha
2025-06-23,H,Laptop,Electronics,1,45000,15,38250.0,South,Neha
2025-06-24,D,Bag,Accessories,4,1200,5,4560.0,South,Sneha
2025-06-25,F,Headphones,Electronics,2,2500,10,4500.0,East,Amit
2025-06-26,C,Perfume,Beauty,3,900,10,2430.0,North,Amit
2025-06-27,E,Bag,Accessories,3,1200,0,3600.0,East,Neha
2025-06-28,A,Headphones,Electronics,2,2500,15,4250.0,East,Sneha
2025-06-29,G,Watch,Accessories,2,2500,0,5000.0,East,Rahul
2025-06-30,E,Headphones,Electronics,2,2500,15,4250.0,South,Neha
2025-07-01,E,Bag,Accessories,5,1200,0,6000.0,East,Rahul
2025-07-02,G,Shoes,Footwear,3,1500,0,4500.0,West,Priya
2025-07-03,C,Sunglasses,Accessories,4,800,5,3040.0,West,Amit
2025-07-04,D,Bag,Accessories,3,1200,0,3600.0,North,Sneha
2025-07-05,C,Watch,Accessories,5,2500,15,10625.0,South,Karan
2025-07-06,D,Sunglasses,Accessories,3,800,0,2400.0,East,Neha
2025-07-07,D,Laptop,Electronics,2,45000,15,76500.0,South,Rahul
2025-07-08,F,Sunglasses,Accessories,1,800,0,800.0,West,Amit
2025-07-09,D,Headphones,Electronics,4,2500,10,9000.0,South,Neha
2025-07-10,F,T-shirt,Clothing,4,700,15,2380.0,West,Rahul
2025-07-11,F,Sunglasses,Accessories,1,800,0,800.0,North,Rahul
2025-07-12,F,Laptop,Electronics,1,45000,5,42750.0,West,Karan
2025-07-13,E,Bag,Accessories,5,1200,15,5100.0,West,Karan
2025-07-14,C,Perfume,Beauty,4,900,0,3600.0,West,Neha
2025-07-15,E,Headphones,Electronics,4,2500,10,9000.0,East,Rahul
2025-07-16,C,Headphones,Electronics,4,2500,15,8500.0,South,Priya
2025-07-17,D,Shoes,Footwear,1,1500,10,1350.0,North,Amit
2025-07-18,B,Headphones,Electronics,3,2500,10,6750.0,North,Sneha
2025-07-19,D,Perfume,Beauty,2,900,15,1530.0,North,Neha
2025-07-20,D,Sunglasses,Accessories,2,800,5,1520.0,East,Karan
2025-07-21,G,Bag,Accessories,4,1200,0,4800.0,North,Amit
2025-07-22,F,Watch,Accessories,4,2500,10,9000.0,North,Priya
2025-07-23,D,Bag,Accessories,3,1200,15,3060.0,West,Sneha
2025-07-24,E,Laptop,Electronics,2,45000,10,81000.0,South,Neha
2025-07-25,F,Headphones,Electronics,4,2500,5,9500.0,North,Priya
2025-07-26,F,Bag,Accessories,3,1200,15,3060.0,South,Karan
2025-07-27,B,Headphones,Electronics,5,2500,10,11250.0,West,Neha
2025-07-28,H,Watch,Accessories,2,2500,0,5000.0,South,Rahul
2025-07-29,A,T-shirt,Clothing,1,700,10,630.0,South,Neha
2025-07-30,G,Bag,Accessories,1,1200,10,1080.0,West,Amit
2025-07-31,A,Watch,Accessories,4,2500,0,10000.0,West,Priya
2025-08-01,B,Perfume,Beauty,4,900,0,3600.0,South,Amit
2025-08-02,G,Shoes,Footwear,1,1500,10,1350.0,South,Rahul
2025-08-03,A,T-shirt,Clothing,2,700,0,1400.0,East,Priya
2025-08-04,B,Shoes,Footwear,3,1500,0,4500.0,West,Amit
2025-08-05,F,Headphones,Electronics,1,2500,15,2125.0,West,Priya
2025-08-06,G,Perfume,Beauty,2,900,0,1800.0,East,Priya
2025-08-07,H,Headphones,Electronics,4,2500,15,8500.0,West,Sneha
2025-08-08,B,T-shirt,Clothing,5,700,10,3150.0,South,Priya
2025-08-09,B,Watch,Accessories,3,2500,15,6375.0,South,Sneha
2025-08-10,G,Sunglasses,Accessories,2,800,15,1360.0,West,Sneha
2025-08-11,B,Laptop,Electronics,1,45000,0,45000.0,South,Karan
2025-08-12,C,Sunglasses,Accessories,1,800,5,760.0,South,Neha
2025-08-13,G,Shoes,Footwear,4,1500,15,5100.0,North,Priya
2025-08-14,A,Laptop,Electronics,1,45000,10,40500.0,South,Sneha
2025-08-15,D,Perfume,Beauty,4,900,5,3420.0,West,Neha
2025-08-16,F,Laptop,Electronics,2,45000,5,85500.0,South,Sneha
2025-08-17,E,Sunglasses,Accessories,5,800,10,3600.0,North,Amit
2025-08-18,B,T-shirt,Clothing,2,700,15,1190.0,West,Karan
2025-08-19,F,Shoes,Footwear,4,1500,0,6000.0,West,Amit
2025-08-20,A,Headphones,Electronics,3,2500,15,6375.0,West,Rahul
2025-08-21,C,Perfume,Beauty,2,900,15,1530.0,West,Amit
2025-08-22,D,T-shirt,Clothing,5,700,5,3325.0,North,Neha
2025-08-23,E,Sunglasses,Accessories,5,800,5,3800.0,South,Sneha
2025-08-24,F,Watch,Accessories,3,2500,10,6750.0,South,Amit
2025-08-25,H,Headphones,Electronics,3,2500,10,6750.0,North,Neha
2025-08-26,C,Headphones,Electronics,2,2500,10,4500.0,West,Rahul
2025-08-27,C,T-shirt,Clothing,3,700,15,1785.0,West,Rahul
2025-08-28,G,Laptop,Electronics,1,45000,5,42750.0,East,Karan
2025-08-29,H,Bag,Accessories,2,1200,15,2040.0,East,Sneha
2025-08-30,F,Laptop,Electronics,5,45000,0,225000.0,West,Karan
2025-08-31,D,Bag,Accessories,4,1200,0,4800.0,North,Karan
2025-09-01,A,Watch,Accessories,3,2500,5,7125.0,North,Priya
2025-09-02,F,Headphones,Electronics,5,2500,5,11875.0,East,Rahul
2025-09-03,C,Perfume,Beauty,4,900,5,3420.0,South,Amit
2025-09-04,E,Sunglasses,Accessories,2,800,0,1600.0,West,Neha
2025-09-05,B,Sunglasses,Accessories,4,800,0,3200.0,South,Priya
2025-09-06,F,Headphones,Electronics,1,2500,15,2125.0,North,Priya
2025-09-07,D,Perfume,Beauty,1,900,10,810.0,North,Sneha
2025-09-08,E,Perfume,Beauty,3,900,5,2565.0,East,Rahul
2025-09-09,E,Watch,Accessories,3,2500,0,7500.0,West,Neha
2025-09-10,D,Laptop,Electronics,1,45000,5,42750.0,North,Amit
2025-09-11,F,Sunglasses,Accessories,1,800,5,760.0,East,Sneha
2025-09-12,D,Headphones,Electronics,3,2500,5,7125.0,South,Karan
2025-09-13,F,Headphones,Electronics,2,2500,10,4500.0,South,Neha
2025-09-14,B,Laptop,Electronics,2,45000,10,81000.0,South,Rahul
2025-09-15,E,Laptop,Electronics,4,45000,10,162000.0,South,Sneha
2025-09-16,E,Watch,Accessories,1,2500,15,2125.0,West,Amit
2025-09-17,F,Sunglasses,Accessories,2,800,15,1360.0,South,Priya
2025-09-18,F,Laptop,Electronics,2,45000,5,85500.0,South,Rahul
2025-09-19,F,T-shirt,Clothing,2,700,10,1260.0,South,Priya
2025-09-20,F,Bag,Accessories,2,1200,10,2160.0,North,Priya
2025-09-21,C,Bag,Accessories,4,1200,10,4320.0,North,Sneha
2025-09-22,A,Sunglasses,Accessories,3,800,10,2160.0,South,Priya
2025-09-23,H,Shoes,Footwear,4,1500,5,5700.0,East,Neha
2025-09-24,G,Shoes,Footwear,5,1500,0,7500.0,East,Karan
2025-09-25,A,Bag,Accessories,4,1200,5,4560.0,North,Amit
2025-09-26,H,Laptop,Electronics,5,45000,10,202500.0,West,Priya
2025-09-27,B,Sunglasses,Accessories,4,800,15,2720.0,South,Priya
2025-09-28,E,Bag,Accessories,5,1200,15,5100.0,West,Amit
2025-09-29,A,Headphones,Electronics,1,2500,10,2250.0,North,Neha
2025-09-30,G,Laptop,Electronics,4,45000,5,171000.0,West,Karan
2025-10-01,E,T-shirt,Clothing,3,700,0,2100.0,North,Amit
2025-10-02,D,Sunglasses,Accessories,2,800,5,1520.0,West,Sneha
2025-10-03,A,Shoes,Footwear,4,1500,15,5100.0,South,Neha
2025-10-04,H,Bag,Accessories,5,1200,5,5700.0,South,Karan
2025-10-05,G,Bag,Accessories,4,1200,0,4800.0,East,Neha
2025-10-06,H,Watch,Accessories,2,2500,0,5000.0,East,Karan
2025-10-07,C,T-shirt,Clothing,3,700,5,1995.0,East,Karan
2025-10-08,C,Shoes,Footwear,3,1500,5,4275.0,North,Rahul
2025-10-09,H,Watch,Accessories,4,2500,5,9500.0,South,Neha
2025-10-10,F,Perfume,Beauty,3,900,0,2700.0,West,Karan
2025-10-11,G,Shoes,Footwear,2,1500,15,2550.0,East,Amit
2025-10-12,H,Bag,Accessories,4,1200,0,4800.0,North,Rahul
2025-10-13,A,Perfume,Beauty,4,900,15,3060.0,North,Amit
2025-10-14,D,Laptop,Electronics,1,45000,5,42750.0,South,Rahul
2025-10-15,A,Perfume,Beauty,4,900,0,3600.0,East,Rahul
2025-10-16,F,Bag,Accessories,5,1200,15,5100.0,South,Amit
2025-10-17,F,Bag,Accessories,5,1200,10,5400.0,West,Karan
2025-10-18,F,T-shirt,Clothing,1,700,10,630.0,East,Karan
2025-10-19,A,T-shirt,Clothing,2,700,5,1330.0,East,Priya
2025-10-20,F,Perfume,Beauty,2,900,15,1530.0,South,Neha
2025-10-21,H,Sunglasses,Accessories,1,800,15,680.0,East,Karan
2025-10-22,C,Sunglasses,Accessories,5,800,15,3400.0,North,Rahul
2025-10-23,G,Perfume,Beauty,5,900,10,4050.0,East,Karan
2025-10-24,F,T-shirt,Clothing,2,700,10,1260.0,West,Amit
2025-10-25,C,Watch,Accessories,1,2500,5,2375.0,North,Sneha
2025-10-26,G,Watch,Accessories,2,2500,0,5000.0,East,Sneha
2025-10-27,G,T-shirt,Clothing,3,700,15,1785.0,South,Sneha
2025-10-28,F,Perfume,Beauty,4,900,0,3600.0,South,Amit
2025-10-29,C,Laptop,Electronics,5,45000,5,213750.0,East,Neha
2025-10-30,G,Watch,Accessories,1,2500,5,2375.0,East,Priya
2025-10-31,B,Perfume,Beauty,1,900,5,855.0,South,Karan
2025-11-01,A,T-shirt,Clothing,4,700,5,2660.0,North,Priya
2025-11-02,A,Watch,Accessories,2,2500,15,4250.0,West,Sneha
2025-11-03,E,T-shirt,Clothing,5,700,15,2975.0,North,Sneha
2025-11-04,D,Bag,Accessories,5,1200,0,6000.0,West,Sneha
2025-11-05,B,T-shirt,Clothing,4,700,0,2800.0,East,Priya
2025-11-06,F,Laptop,Electronics,3,45000,5,128250.0,North,Priya
2025-11-07,E,Headphones,Electronics,2,2500,5,4750.0,South,Rahul
2025-11-08,B,Laptop,Electronics,5,45000,15,191250.0,East,Amit
2025-11-09,C,Laptop,Electronics,1,45000,5,42750.0,West,Neha
2025-11-10,D,Watch,Accessories,1,2500,15,2125.0,West,Sneha
2025-11-11,F,Headphones,Electronics,3,2500,10,6750.0,North,Karan
2025-11-12,C,Sunglasses,Accessories,3,800,5,2280.0,South,Rahul
2025-11-13,B,Headphones,Electronics,1,2500,10,2250.0,South,Sneha
2025-11-14,C,Sunglasses,Accessories,1,800,0,800.0,East,Karan
2025-11-15,B,Bag,Accessories,1,1200,10,1080.0,West,Priya
2025-11-16,A,Watch,Accessories,4,2500,5,9500.0,South,Neha
2025-11-17,G,Bag,Accessories,2,1200,5,2280.0,North,Amit
2025-11-18,B,Sunglasses,Accessories,4,800,15,2720.0,West,Amit
2025-11-19,D,Shoes,Footwear,2,1500,5,2850.0,East,Karan
2025-11-20,C,Perfume,Beauty,1,900,10,810.0,East,Rahul
2025-11-21,G,Sunglasses,Accessories,5,800,0,4000.0,North,Neha
2025-11-22,A,Watch,Accessories,4,2500,10,9000.0,West,Rahul
2025-11-23,A,Laptop,Electronics,5,45000,5,213750.0,East,Amit
2025-11-24,C,Laptop,Electronics,2,45000,0,90000.0,South,Amit
2025-11-25,E,Laptop,Electronics,2,45000,5,85500.0,West,Amit
2025-11-26,G,Perfume,Beauty,2,900,5,1710.0,South,Neha
2025-11-27,H,T-shirt,Clothing,3,700,5,1995.0,West,Neha
2025-11-28,B,Bag,Accessories,4,1200,10,4320.0,West,Karan
2025-11-29,D,Headphones,Electronics,2,2500,0,5000.0,East,Priya
2025-11-30,C,Shoes,Footwear,5,1500,5,7125.0,North,Priya
2025-12-01,E,Sunglasses,Accessories,5,800,5,3800.0,North,Karan
2025-12-02,D,T-shirt,Clothing,4,700,10,2520.0,West,Neha
2025-12-03,B,Bag,Accessories,1,1200,5,1140.0,East,Karan
2025-12-04,C,Bag,Accessories,1,1200,15,1020.0,West,Amit
2025-12-05,F,Laptop,Electronics,4,45000,15,153000.0,East,Rahul
2025-12-06,D,Bag,Accessories,5,1200,10,5400.0,West,Karan
2025-12-07,H,Watch,Accessories,2,2500,0,5000.0,East,Sneha
2025-12-08,A,Laptop,Electronics,2,45000,15,76500.0,West,Amit
2025-12-09,B,Watch,Accessories,3,2500,10,6750.0,East,Amit
2025-12-10,B,T-shirt,Clothing,1,700,0,700.0,East,Karan
2025-12-11,D,T-shirt,Clothing,5,700,15,2975.0,North,Amit
2025-12-12,G,T-shirt,Clothing,1,700,10,630.0,South,Karan
2025-12-13,D,Watch,Accessories,4,2500,15,8500.0,West,Priya
2025-12-14,B,Perfume,Beauty,2,900,0,1800.0,North,Neha
2025-12-15,A,Perfume,Beauty,5,900,15,3825.0,North,Sneha
2025-12-16,G,Watch,Accessories,2,2500,10,4500.0,East,Neha
2025-12-17,F,Perfume,Beauty,3,900,0,2700.0,North,Priya
2025-12-18,C,Perfume,Beauty,1,900,5,855.0,West,Neha
2025-12-19,C,Watch,Accessories,2,2500,5,4750.0,South,Neha
2025-12-20,F,Laptop,Electronics,5,45000,15,191250.0,North,Sneha
2025-12-21,H,Headphones,Electronics,5,2500,10,11250.0,West,Karan
2025-12-22,F,Shoes,Footwear,5,1500,5,7125.0,North,Amit
2025-12-23,B,Shoes,Footwear,1,1500,10,1350.0,North,Priya
2025-12-24,E,Sunglasses,Accessories,5,800,5,3800.0,North,Karan
2025-12-25,F,Perfume,Beauty,1,900,15,765.0,South,Amit
2025-12-26,A,T-shirt,Clothing,2,700,10,1260.0,North,Amit
2025-12-27,F,Perfume,Beauty,3,900,10,2430.0,West,Priya
2025-12-28,E,Bag,Accessories,1,1200,5,1140.0,South,Sneha
2025-12-29,D,Laptop,Electronics,3,45000,10,121500.0,West,Sneha
2025-12-30,C,Watch,Accessories,2,2500,0,5000.0,West,Sneha
2025-12-31,D,Bag,Accessories,4,1200,15,4080.0,East,Rahul
2025-01-01,G,Headphones,Electronics,5,2500,10,11250.0,West,Neha
2025-01-02,E,Watch,Accessories,3,2500,5,7125.0,East,Priya
2025-01-03,G,Sunglasses,Accessories,4,800,0,3200.0,North,Rahul
2025-01-04,E,Bag,Accessories,2,1200,15,2040.0,South,Sneha
2025-01-05,H,Laptop,Electronics,4,45000,15,153000.0,West,Rahul
2025-01-06,F,Bag,Accessories,1,1200,15,1020.0,West,Sneha
2025-01-07,B,Bag,Accessories,3,1200,0,3600.0,South,Amit
2025-01-08,D,Watch,Accessories,2,2500,15,4250.0,North,Rahul
2025-01-09,F,Sunglasses,Accessories,1,800,5,760.0,North,Sneha
2025-01-10,D,Laptop,Electronics,5,45000,15,191250.0,South,Sneha
